Primates,Hominidae,Homo,sapiens,Homo sapiens,3,58540.63,-999,-999,-999,5292.5,-999,-999,-999,-999,274.78,-999,-999,-999,958.12,1,-999,1470,3182.96,-999,-999,-999,5582.93,-999,-999,-999,-999,725.86,8999.99,-999,543;1297;1544;1547;1577;1594;1611;1763;1767;2344;2493,-999,0.67,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Proboscidea,Elephantidae,Loxodonta,africana,Loxodonta africana,3,3824539.93,-999,-999,0,3467.5,-999,-999,4,-999,660,1,587.53,1284.09,1825,0.84,-999,960,105000,1198.63,6.72,-999,4977.64,19.5,2,1,1,1088.8,550616.56,-999,511;543;730;854;899;931;1297;1573;1577;1745;1763;2195;2313;2338;2655;2755;2820;2949;2986,-999,0.48,-999,-999,4233287.94,16.36,-33.56,-8.6,41.93,-13.9,14.01,0,19.03,1,0.15,83.39,231.48,910.08,1531.04
Diprotodontia,Macropodidae,Macropus,rufus,Macropus rufus,1,38968.39,-999,-999,-999,547.5,5568.64,30617.5,1,-999,33.99,1,4.08,4.41,238.5,1,-999,360,0.81,-999,3.14,-999,695.03,2.6,-999,1,1,359.99,7416.19,-999,543;634;730;955;1052;1297;1412;1501;1573;1760;1822;1848;2484;2655;2986,-999,1.36,-999,-999,5285730.12,-16.89,-36.27,-26.58,150.63,113.14,131.89,0,0.17,0,-4.03E-03,26.18,213.03,350.95,1320.08
Rodentia,Muridae,Mus,musculus,Mus musculus,-999,19.3,-999,-999,-999,139.5,56.76,35.7,1,-999,19.6,2,5.16E-04,6.17E-04,-999,5.54,4.5,72,1.06,21.99,4981.53,-999,64.71,-999,10,2,3,21.5,10,-999,71;452;456;543;580;786;836;1297;1577;1594;1849;2034;2151;2329;2399;2531;2637;2655;2803;2978,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Notoryctemorphia,Notoryctidae,Notoryctes,typhlops,Notoryctes typhlops,2,55,-999,134.59,-999,-999,-999,-999,2,-999,-999,2,-999,-999,-999,1,-999,18,-999,-999,-999,-999,-999,1,2,1,2,-999,-999,-999,543;955;1412;1760;2151;2655,-999,-999,-999,-999,1779880.27,-17.53,-31.43,-24.48,137.56,117.57,127.56,0,0.02,0,0.02,21.53,219,305.14,1303.48
Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,Ornithorhynchus anatinus,2,1484.25,-999,419.18,-999,730,477.34,1315,1,-999,12.48,3,0.07,0.07,365,2,-999,264,-999,-999,-999,-999,742.46,1,-999,1,3,120.97,-999,-999,543;1297;1361;1573;1822;1848;2224;2484;2581;2655,-999,1.1,-999,-999,547828.42,-16.29,-43.64,-29.96,153.63,136.53,145.08,0,24.86,1,0.04,76.73,156.53,781.2,1206.89
Tubulidentata,Orycteropodidae,Orycteropus,afer,Orycteropus afer,1,56175.2,-999,1254.43,0,1095,6144,48000,1,-999,222.05,2,-999,-999,-999,1.1,1,288,1899.68,-999,-999,-999,755.15,1,4,1,3,40.92,5612.48,-999,511;543;1008;1126;1297;1822;1947;1980;2151;2611;2655,-999,-999,-999,-999,18035652.33,23.47,-34.83,-5.68,51.41,-17.53,16.93,0,31.68,1,0.12,75.34,234.77,800.71,1524.66
Lagomorpha,Leporidae,Oryctolagus,cuniculus,Oryctolagus cuniculus,2,1590.57,-999,400,10,121.66,-999,-999,2,-999,30.45,-999,0.04,0.04,29,5.24,4.5,216,39.11,-999,357.9,-999,185.61,-999,-999,-999,1,26.3,211.06,-999,95;543;730;1297;1449;1473;1573;1577;1594;1601;1849;2314;2338;2655;2965,-999,-999,-999,-999,2293893.27,57.74,30.67,44.2,28.19,-9.84,9.17,3,151.01,14,0.01,55.03,103.87,488.02,716.66
Peramelemorphia,Peramelidae,Perameles,nasuta,Perameles nasuta,2,720.26,-999,-999,-999,121.66,318.5,650,2,-999,12.24,2,-999,-999,53,2.43,-999,-999,0.23,-999,89.99,-999,139.04,-999,-999,1,2,66.99,106.06,-999,955;1152;1297;1412;1760;1822;1842;1926;1946;2484;2655,-999,2.92,-999,-999,383336.86,-16.5,-39.13,-27.82,153.63,142.42,148.03,0,31.83,0,0.07,80.76,166.4,832.6,1294.82
Hyracoidea,Procaviidae,Procavia,capensis,Procavia capensis,3,2952.48,-999,467.37,0,2190,780,2325,5,-999,231.24,2,2.64E-03,-999,365,2.5,1,168,203.49,191.5,2734.51,47,487.07,17,6,2,1,90.99,499.99,-999,543;658;1297;1355;1822;1848;1984;2151;2179;2466;2629;2655,-999,-999,-999,-999,24125352.41,35,-34.83,0.08,57.7,-17.53,20.08,0,31.59,0,0.12,64.24,236.32,673.95,1484
Chiroptera,Pteropodidae,Pteropus,vampyrus,Pteropus vampyrus,-999,1027.54,200,-999,-999,-999,-999,-999,2,-999,-999,1,-999,-999,-999,0.99,1,-999,-999,-999,-999,1500,-999,-999,-999,2,1,104.69,-999,-999,78;196;212;360;1297;1439;1621;1658;2017;2151;2295;2655;2719;2885;2910,-999,-999,-999,-999,2034681.18,18.65,-10.62,4.01,127.3,95.18,111.24,0,165.58,4,0.13,217.99,249.98,1525.79,1714.19
Dasyuromorphia,Dasyuridae,Sarcophilus,harrisii,Sarcophilus harrisii,2,8202.25,-999,557.86,-999,-999,1617,5775,1,-999,21,1,-999,-999,365,2.88,1,98.4,0.02,-999,5.9,-999,777.31,-999,-999,1,3,243.33,200,-999,543;955;1052;1297;1412;1760;1822;1848;2483;2484;2655,-999,-999,-999,-999,63567.96,-40.64,-43.64,-42.14,148.35,144.6,146.48,0,6.64,1,-0.01,71.3,104.27,610.94,778.91
Sirenia,Trichechidae,Trichechus,manatus,Trichechus manatus,2,467324.83,-999,3494.78,-999,-999,-999,-999,6,-999,334.58,1,-999,-999,1003.75,1.22,-999,360,29636.99,125,-999,-999,1887.88,1.45,2,-999,2,266.74,-999,-999,543;890;899;905;1297;1422;2151;2192;2193;2320;2419;2655,-999,0.66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Scandentia,Tupaiidae,Tupaia,glis,Tupaia glis,3,132.43,-999,185,-999,203.75,93.48,123,4,-999,45.99,2,8.14E-03,8.73E-03,45.3,2.22,2.5,149,12.6,97.36,406.3,-999,122.77,-999,4,2,2,34.27,100,-999,543;679;730;885;1297;1736;1822;2152;2655,-999,-999,-999,-999,752165.74,9.27,-8.78,0.24,114.6,95.18,104.89,3,247.48,22,0.1,216.09,252.14,1647.22,1768.46
